Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
luteolibacter,0.001831798,0.002023051,0.002008744,0.002529653,0,5.05204E-05,0,0,0,4.97884E-05,0,0
petrimonas,0.003609719,0.003003923,0.004253811,0.003935016,0.000630089,0.000656765,0.000171365,0.000455913,0.000447227,0.000398307,0,9.85999E-05
sphingopyxis,0.005818652,0.00484306,0.007326007,0.008600821,0.000630089,0.001010407,0.000257047,0.000364731,0.000503131,0.000448096,0,0
reyranella,0.000808146,0.001532614,0.002008744,0.001630221,0.000145405,5.05204E-05,4.28412E-05,0.000136774,0.000614937,0.000597461,0.0001044,0
opitutus,0.002155056,0.002452182,0.002717712,0.004159874,0.001308647,0.00141457,8.56825E-05,4.55913E-05,0.000447227,0.000448096,0.000156601,4.92999E-05
methanolinea,0,0,0,0,0.006785576,0.004395271,0.00175649,0.002553114,0,0,0.004541421,0.001429698
intestinibacter,0.000161629,6.13046E-05,0.000177242,0.000112429,0.000242342,0.000101041,4.28412E-05,0.000182365,0.00016771,0.000199154,0.000261001,0.0003451
clostridium,0.016055169,0.012935262,0.005258183,0.00522795,0.077937185,0.070526422,0.099820067,0.102033373,0.078767889,0.074433657,0.120112753,0.073111812
gemmobacter,0,0,0,0,0.000872431,0.000606244,0,0,0,0,0,4.92999E-05
sporobacter,0,0,0,0,0,0,0.022748693,0.032643385,0.079047406,0.071695295,0.040611787,0.071090515
acinetobacter,0.001293034,0.001410005,0.001772421,0.001911293,0.00242342,0.001111448,0,0,0,9.95768E-05,0,0
ruminococcus,0,0,0,0,0,0,0.010538943,0.013540622,0.01397585,0.00995768,0.000678603,9.85999E-05
treponema,0.007381068,0.005578715,0,5.62145E-05,0.036351299,0.031575225,0.038128695,0.040667457,0.043716458,0.051580782,0.068330114,0.062463025
hyphomicrobium,0.012229945,0.009073075,0.010220962,0.00921918,0.003538193,0.00282914,0.000771142,0.000957418,0.002403846,0.002539208,0.000678603,0.000492999
terrimonas,0.025268035,0.024828347,0.030072078,0.031311485,0.001163242,0.00141457,0.000599777,0.000319139,0.001565295,0.001593229,0,0
ruegeria,0.000323258,0.00067435,5.90807E-05,0,0,0,0,0,0,0,0,0
methylocaldum,0.000538764,0.000735655,0.000472646,0.000562145,0.000193874,0.000202081,0.000214206,4.55913E-05,0.000111807,0.000199154,0,4.92999E-05
fluviicola,0.029416519,0.031387935,0.036275552,0.041261454,0.005089182,0.004496312,0.000856825,0.000455913,0.004360465,0.004779686,0.000365402,0.0002465
