Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
Ruminiclostridium,0,0,0,0,0,0,0.025860555,0.032246108,0.009031384,0.009204005,0.008124689,0.003860209
Terrabacter,0.00016299,0.000123259,0.000296384,0.000225466,5.23E-05,0,0.000175623,0.000416976,0.000451569,0.000606857,5.53E-05,5.15E-05
Paracoccus,0.000923612,0.001417478,0.001896858,0.001690998,0.000104641,0.000161952,0.000131718,9.27E-05,0.000169338,0.000101143,0,0
Candidatus Competibacter,0.020971422,0.020769136,0.02145821,0.021644778,0.000732486,0.000863744,0,0,5.64E-05,0,5.53E-05,0
Thermanaerothrix,0.001358253,0.001047701,0.001659751,0.002085565,5.23E-05,5.40E-05,0,0,0,0,0,0
Diaphorobacter,0.000814952,0.000554665,0.000829876,0.000732766,0.000209282,0.000377888,8.78E-05,9.27E-05,0.0007338,0.000606857,5.53E-05,0
Anaerofilum,0,0,0,0,0,0,8.78E-05,0.000185322,0.001411154,0.001112572,0.00182391,0.000617633
Caedibacter,0.000651961,0.000986072,0.001066983,0.000394566,0.000104641,5.40E-05,4.39E-05,0.000185322,0.000451569,0.000455143,0,0
Gemmatimonas,0.000869282,0.00123259,0.001778305,0.001465532,0.000156961,0.000647808,8.78E-05,0,0.000169338,0.000303429,0.00022108,5.15E-05
Lutispora,0,0,0,0,0,0,0.015367053,0.013250556,0.007507338,0.013553151,0,0.000257347
Moorella,0.002064544,0.002773327,0.000829876,0.000845499,0.009313033,0.009501188,0.000658588,0.000231653,0,0,0.00303985,0.004323434
Halospirulina,0.000271651,0.000431406,0.000829876,0.000845499,0.002877623,0.002537249,0,0,0,0,0,0
Actinobaculum,0.001086602,0.000801183,0.000770599,0.001014599,0.000261602,0.00026992,0.000131718,4.63E-05,0.000169338,0.000404572,0,0
Dehalococcoides,0.002227534,0.002033773,0.002193242,0.001183699,0.001988176,0.001889441,0.001053741,0.00078762,0.001185369,0.00242743,0.0011054,0.000514695
Rhodocyclus,0.000271651,0.000308147,0.000237107,0.000225466,5.23E-05,0,0,0.000185322,0.000508015,0.000303429,0,0
Pseudoalteromonas,0.000706291,0.00123259,0,0,0.006540051,0.005452386,0,4.63E-05,0,0,0.00060797,5.15E-05
Lacibacter,0.000271651,0.000246518,0.000296384,0.000563666,0,0,0,0.000138992,0.000112892,0,0,5.15E-05
Sporolactobacillus,0,0,0,0,0,0,0.002239199,0.001621572,0.002370738,0.001770001,5.53E-05,0
Lactococcus,0,6.16E-05,0,0,0,0,0,0,0.000620908,0.001365429,0,5.15E-05
Garciella,0,0,0,0,5.23E-05,0.000215936,0.000790306,0.001436249,0.002257846,0.002022858,0.00049743,5.15E-05
Methylocapsa,0.00010866,0.000184888,0.000118554,0.0003382,0,0.000161952,0.000263435,9.27E-05,0.000395123,0.000303429,0,0
Roseomonas,0.001358253,0.002280291,0.00243035,0.001690998,0.000209282,0.000161952,0,0,0,0,0,0
Anoxybacillus,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera,0,0,0,0,0,0,4.39E-05,9.27E-05,0.000508015,0.000151714,0.00149229,0.000463225
Acetanaerobacterium,0,0,0,0,0,0,0.001053741,0.001019274,0.001975615,0.001921715,0.00132648,0.001749961
