Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
Methanolinea,0,0,0,0,0.15963512,0.119341564,0.072438163,0.159090909,0,0,0.082075472,0.034037559
Methanosphaera,0,0,0,0,0,0,0.033568905,0.034090909,0.098265896,0.161290323,0.144339623,0.16314554
Methanospirillum,0,0,0,0.034482759,0.011402509,0.008230453,0.005300353,0.002840909,0,0,0.000943396,0.002347418
Methanosaeta,0.959302326,0.945454545,0.666666667,0.655172414,0.730900798,0.768175583,0.021201413,0.034090909,0.028901734,0.019354839,0.046226415,0.037558685
Methanosarcina,0.005813953,0,0,0,0,0,0.457597173,0.284090909,0.213872832,0.338709677,0.241509434,0.242957746
Methanobacterium,0,0,0.066666667,0,0.001140251,0,0.33745583,0.426136364,0.144508671,0.222580645,0.325471698,0.248826291
Methanobrevibacter,0.034883721,0.054545455,0.266666667,0.310344828,0.096921323,0.104252401,0.072438163,0.059659091,0.514450867,0.258064516,0.159433962,0.271126761
